"","date","portfolio_returns","snp_market_returns"
"1",2021-11-30,-0.0373348042783372,-0.0101155745134089
"2",2021-12-31,0.0393523086735567,0.0436129134620649
"3",2022-01-31,-0.0353691096169402,-0.0525851650273939
"4",2022-02-28,0.00147640806438441,-0.0313604919459083
"5",2022-03-31,0.0267053811940328,0.0357732883715463
"6",2022-04-29,-0.106065922052641,-0.0879567118043431
"7",2022-05-31,0.00685726354665785,5.31777046446358e-05
"8",2022-06-30,-0.0911124936343769,-0.0839199999338268
"9",2022-07-29,0.102284866696541,0.09111639173021
"10",2022-08-31,-0.0293094504145826,-0.0424401282729984
"11",2022-09-30,-0.0927777302177148,-0.0933956720132744
"12",2022-10-31,0.0742877263124583,0.0798634138370089
"13",2022-11-30,0.0473821470166515,0.0537528933524931
"14",2022-12-30,-0.0617149100035704,-0.0589714740747305
"15",2023-01-31,0.11619283112724,0.0617528578346791
"16",2023-02-28,-0.0196922319367566,-0.0261124939318186
"17",2023-03-31,-0.000766306986009078,0.035051612577109
"18",2023-04-28,-0.0072980958223528,0.014642341662481
"19",2023-05-31,-0.00235421316655887,0.00248234736819297
"20",2023-06-30,0.0769077562115901,0.0647274649042346
"21",2023-07-31,0.0528420571785308,0.0311389323550109
"22",2023-08-31,-0.0356789317894637,-0.017716390070854
"23",2023-09-29,-0.0411933624772769,-0.0487193674656249
"24",2023-10-31,-0.0458536000438028,-0.0219796887379829
"25",2023-11-30,0.0944049241652082,0.0891792687819701
"26",2023-12-29,0.0786237488206296,0.0442292311563601
"27",2024-01-31,-0.0157682299448448,0.0158957075989916
